,,,,
,,,,
,Общая информация,,,
№,Наименование,Значение,,
,Дата отчета,2019-05-30 16:19:03.611428,,
,Период отчета с,2019-05-30 16:19:03.611428,по,2019-04-1 00:00:00.000000
,Количество купленных карт,33,,
,Количество выданных на сдачу купюр,0,,
,Количество моек по программе 1 Сдандарт,1,
,Количество моек по программе -1 Неизвестная,1344,
,Количество оплат клиентскими картами,103,,
,,,,
,Финансовая информация. Мойки,,,
№,Наименование,Робот 1,Робот 2,Итог
,Внесенных средств,250250,179350,429700
,Внесенных наличных средств,225950,156750,382700
,Внесенных с клиентских карт средств,12550,14150,26800
,Внесенных с банковских карт средств,11750,8450,20200
,Сумма оплат за программу 1 Сдандарт,250,0,250,
,Сумма оплат за программу -1 Неизвестная,0,0,0,
,Сумма оплат за опцию 0 Пылесос салона + коврики,0,0,0,,
,Сумма оплат за опцию 1 Мойка стекол внутри,100,0,100,,
,Сумма оплат за опцию 2 Чернение резины,0,0,0,,
,Сумма оплат за опцию 3 Протирка кузова  тряпкой,50,0,50,,
,Сумма оплат за опцию 4 Обработка кожи  салона,0,0,0,,
,Сумма оплат за опцию 5 Чистка ковриков  и порогов,0,0,0,,
,,,,
,Финансовая информация. Клиентские карты,,,
№,Наименование,,,
,Внесенных средств,49950,,
,Внесенных наличных средств,49450,,
,Внесенных с банковских карт средств,500,,
,Сумма оплат за приобретение клиентской карты,3300,,
,"Сумма кэшбэка, перечисленного на клиентские карты",0,,
