,,,,
,,,,
,Общая информация,,,
№,Наименование,Значение,,
,Дата отчета,19.11.2019 08:00,,
,Период отчета с,18.11.2019 08:00,по,19.11.2019 08:00
,Количество купленных карт,0,,
,Количество выданных на сдачу купюр,None,,
,Количество оплат клиентскими картами,0,,
,,,,
,Финансовая информация. Мойки,,,
№,Наименование,Робот 1,Робот 2,Итог
,Внесенных средств,None,None,None
,Внесенных наличных средств,None,None,None
,Внесенных с клиентских карт средств,None,None,None
,Внесенных с банковских карт средств,None,None,None
,,,,
,Финансовая информация. Клиентские карты,,,
№,Наименование,,,
,Внесенных средств,None,,
,Внесенных наличных средств,None,,
,Внесенных с банковских карт средств,None,,
,Сумма оплат за приобретение клиентской карты,None,,
,"Сумма кэшбэка, перечисленного на клиентские карты",None,,
